_id,email,location,sector,role,established_dt,type_dt_other,assurance_meaning,assurance_mechanisms[0],assurance_mechanisms[1],assurance_mechanism_other,assured_properties[0],assured_properties[1],assured_properties_other,asset_data_sharing,partner_trust_difficulty,partner_trust_challenges[0],preparedness_for_argument,communication_impact,communication_methods[0],communication_methods[1],integrate_assurance,link_assurance_activities,satisfaction_justification,ethical_framework_existence,familiarity_with_gemini_principles,value_of_guiding_principles,framework_description,framework_development,benefits_of_visual_tool,need_for_visual_tool,reasons_against_visual_tool,operationalization_challenges,support_for_assurance[0],support_for_assurance[1],support_for_assurance_other,ranking_support_options,modification_date,consent_0,consent_1,consent_2,consent_3,consent_4,consent_5,consent_6,consent_7,consent_8,consent_9,project_interest,workshop_interest,challenge_curation,challenge_evolution,challenge_federation,challenge_good,challenge_insight,challenge_openness,challenge_quality,challenge_security,challenge_value,relevance_curation,relevance_evolution,relevance_federation,relevance_good,relevance_insight,relevance_openness,relevance_quality,relevance_security,relevance_value
1,mpjcnixfid@example.com,United Kingdom,Engineering,Developer/Engineer,Yes,WqOPGyxqrR,HGkVkavaQVvGyNkbzkYpOzMiJUgJXGbCIwVxUqfrkknoSOngZp,"Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)","Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)",uRpxYIfkyT,Transparency,Fairness,cXBLsUXpQN,Yes,Not Applicable,Intellectual Property Rights,Not prepared at all,Disagree,Non-standardized written Reports,Other,Neutral,Agree,Somewhat satisfied,Yes  / Something similar,I have helped develop them.,Extremely valuable,MyhZAEFmCziANDRJkKMsAHKHNRknAFrtOYuCegQfOCfnJgaTFU,Adapted existing framework / standards,vdSYTWnVqfYFTwWGNZEsaxoFREjObraMJUdrSQLopFftRQmLcM,Yes,IGspncidyPDykVudfbbZAgilqExrGFpnsngYmwruZSXUnNYRxN,YmMnjugvNWtzaKEzxyZxSBOcdCITgjHcobBRpYxpZNMLcdAToq,Value demonstration,Other (Please specify),YSdSsQyQOpDmuzwWLTvTFblzAYnsmgpQLEqgxddCESwiXVTMBv,"['Value demonstration', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification']",2020-02-04,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Very challenging,Extremely challenging,Very challenging,Extremely challenging,Extremely challenging,Slightly challenging,Very challenging,Moderately challenging,Extremely challenging,Extremely Relevant,Extremely Relevant,Moderately Relevant,Very Relevant,Not Relevant,Extremely Relevant,Slightly Relevant,Extremely Relevant,Extremely Relevant
2,pjxqxfousu@example.com,Belgium,Electricity,Executive/Decision-Maker,Yes,tXUaYWJjxF,WiWcSopmDeznFKSPSAejBBHbjhTvqJBdbEjbggVeqNMqsDknBX,"Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)",None,sPnyvSTmbE,Value Creation,Quality,BsAHjeOHTQ,No,Very Easy,Regulatory concerns around data protection,Neutral,Strongly agree,Non-standardized written Reports,Digital Communications,Strongly agree,Disagree,Somewhat unsatisfied,I don’t know,Select,Very valuable,LCgUaDkQWGObqMmkYpcwbxefkjcxLMfnCbFKnJyrGnydepnenC,Developed by an external consultant,FNujCSRdQbwRiNKvIghtuWtdUZGMyqLCYoagsYfOSXoFOTUjRy,I need to know more about this tool to decide,OpTpfkNOtGUVkSwpaYdCGSFNfMwJPQaLDntHkJAvoWGoMvzBHJ,jdyPJiuOSUiOsoSjLMFXQjGfBToZrgroQpFlmLjZtHXktRASJV,Business case justification,Other (Please specify),gMKOzRYeWyBxhgpkOiSjdZjjQCEoLDHQdJQqbOQHjdlUcCObyf,"['Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification']",2020-03-29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely challenging,Extremely challenging,Very challenging,Slightly challenging,Extremely challenging,Slightly challenging,Slightly challenging,Slightly challenging,Extremely challenging,Moderately Relevant,Extremely Relevant,Not Relevant,Not Relevant,Not Relevant,Very Relevant,Moderately Relevant,Extremely Relevant,Slightly Relevant
3,gfaidcfbdr@example.com,United Kingdom,Technology,Researcher/Academic,Yes,BdvaFBpSrs,TScFuaHRbFkXHCZUezZxTfpWMaQawqIQMilCQYoSEKMjKmfXbC,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)","Information Security Reviews (e.g., safeguarding data and systems)",gSeiugTivA,Federation,Transparency,RGAnJMbtxk,Yes,Very Difficult,Insufficient digital awareness/skills,Very prepared,Agree,Digital Communications,Visual Aids,Neutral,Agree,Very satisfied,I don’t know,This is the first time I've heard of them.,Slightly valuable,WPBNBudLjcMIofjhTwSLJohKkkyEaxowCufcyxjokXuxZbvFiI,Adapted existing framework / standards,IezjFjfBEPMboonfbYzkVldMzmDmWpJLBtTNhsgpozydxshYGi,Yes,YbiKuelquMmmhwvMHUpBomNPfTOXTUoAeJzZRvumqShumRPccR,fxUExzArQkbZmqXJNlnbaYFiStoHItKzatYJKVivlwCJQZEAEb,Value demonstration,Step-by-Step Guidance / Skills Training,dPsjCNWYWQIMzBFDQmaqzSPMJtDhKbxaHirjOdGBmBwcwLUHFv,"['Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Awareness Programs for Assurance', 'Business case justification']",2022-11-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Extremely challenging,Moderately challenging,Extremely challenging,Extremely challenging,Slightly challenging,Not challenging at all,Slightly challenging,Very challenging,Very challenging,Moderately Relevant,Slightly Relevant,Moderately Relevant,Not Relevant,Extremely Relevant,Moderately Relevant,Slightly Relevant,Moderately Relevant,Not Relevant
4,ylchexuhmu@example.com,India,Technology,Industry Consultant/Advisor,No,mhLzyImfvd,EArrXIxEphQwvoqXVvpREkanqnDjIAMaiCgmmWVgvLyoyYRMHV,Stakeholder Feedback Systems,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)",KfpgCfemxP,Contestability,Data Stewardship,AVmGHfOvLA,Yes,Not Applicable,Interoperability,Not prepared at all,Strongly agree,Meetings,Not Systematically,Disagree,Agree,Very satisfied,Yes  / Something similar,This is the first time I've heard of them.,Extremely valuable,pqbGouWsNuOwNVVTFmhLJSDxMORzKauXesCUkaJGAizmjigRfU,Internal governance process,RWOAGsZcSmcETdIJrVQpvpOhzXJQEJRsOCgLFRdlCPMmnuzDWh,Yes,xjGsOfmWUBkVWxgAcqmMyOrTmauWvFKZhdecgljXMvuCmqUCcT,TUZlnHSzdLppxiMZatlsILwwIzMieiuQmbnwiBcqeLLfUuMMjL,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Regulatory Clarity and Compliance Guidance,xBgLvQYklkWBBEtjdnwsRrFJObOnqxmSlwKxDLLsHvoGzByZjo,"['Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration']",2022-01-05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Slightly challenging,Not challenging at all,Slightly challenging,Moderately challenging,Extremely challenging,Moderately challenging,Not challenging at all,Extremely challenging,Very challenging,Moderately Relevant,Very Relevant,Extremely Relevant,Not Relevant,Moderately Relevant,Moderately Relevant,Not Relevant,Slightly Relevant,Moderately Relevant
5,yzznaagxqr@example.com,Belgium,Construction,Data Scientist/Analyst,Indirectly (We support clients or provide components for their digital twins),ZVfvAJZofa,rhGLRmOMXddwVbbwVmWRLnPDIyEpCkkQvWpMJEopQHONBYzbbh,"Compliance Audits (e.g., verifying adherence to laws and regulations)",None,loMfOwkgRY,Safety,Sustainability,suuxFNKoNw,Yes,Very Difficult,Business Change,Not prepared at all,Strongly agree,Written Reports following established standards,Interactive Platforms,Strongly disagree,Strongly disagree,Very satisfied,No,I incorporate them in my work as guidelines.,Slightly valuable,CDEBKFOOCKnpDcsBXLKdiwaUyoppyvvoOHTWAypbHGevOEssAV,Internal governance process,UhHRCMOyIaNHbdnbxcJLxzHPRQaueOubRPPGcSJwNzUAdYlPvs,No,ebFPwEVTfMutaOITlcSncyqNDRunznZpSWJqnjsAjgzUqedZdw,cmISPmfglvyEUxnHBZHnAMAqKHmHejrQeXVKXYykiaBZpfUBoa,Regulatory Clarity and Compliance Guidance,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,dnMQwvxoOFKMFPSphgThFzMcpPBHMAaijFEHhMawfZyVTVnZEC,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Value demonstration', 'Step-by-Step Guidance / Skills Training']",2022-06-07,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderately challenging,Moderately challenging,Moderately challenging,Very challenging,Very challenging,Not challenging at all,Extremely challenging,Moderately challenging,Slightly challenging,Not Relevant,Slightly Relevant,Very Relevant,Moderately Relevant,Extremely Relevant,Slightly Relevant,Extremely Relevant,Not Relevant,Moderately Relevant
6,owektoeurs@example.com,United Kingdom,Construction,Researcher/Academic,Yes,lyEGWXrRip,SbfwStOxGErWOUMrhXHogiDGfAXJLAajobYCRvLGBAyJQoXDGF,"Risk Assessment (e.g., evaluating potential risks in projects)","Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)",XdXOXsQhsv,Quality,Data Stewardship,HzNuHOmkFW,Yes,Not Applicable,Lack of trust in partner organisation,Not prepared at all,Neutral,Meetings,Interactive Platforms,Disagree,Strongly disagree,Very unsatisfied,Yes  / Something similar,I've heard of them but don't know much.,Not valuable at all,BarDwHbxRTFnXWUTbNeJFfDCvYFCRqVWvvWQKBmwyWanmqRFZc,"Consensus-based process (e.g., collaborative efforts of industry consortia)",CAeNttaUoapSPUrzJTkjGTHnpIJQYCezmWEUCCOmMuaQlxoTKH,I need to know more about this tool to decide,KXGEWHfTeNKlgkrnlFIgRYAhdsCSGbxgSSxHNBuaGYCoNYXLNs,hOkWsoAUPTSnOdqZKriOxmLLOGbyccpkwzIckmXlNEnTpZnZyd,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Regulatory Clarity and Compliance Guidance,lZelpGtmnyenbtwEyIxARfNGPwjebXujrEaGgkvAyjMaUbXPyS,"['Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration', 'Business case justification', 'Step-by-Step Guidance / Skills Training', 'Tools to easily create Assurance Cases']",2020-03-17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Very challenging,Not challenging at all,Very challenging,Very challenging,Slightly challenging,Slightly challenging,Moderately challenging,Not challenging at all,Not challenging at all,Moderately Relevant,Moderately Relevant,Extremely Relevant,Very Relevant,Slightly Relevant,Not Relevant,Very Relevant,Moderately Relevant,Moderately Relevant
7,nrydlqrrqs@example.com,France,Technology,Compliance Officer/Regulatory Affairs Manager,No,rZoTPiUBdi,ugJyNFzqRIHYtipdpNQWPYuXjUiFFBwmrzUtUJVEfykaaUXtBR,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",uNdDucdMHX,Public Good,Quality,epNELQocae,No,Not Applicable,Client Sponsor,Very prepared,Agree,Visual Aids,Non-standardized written Reports,Agree,Strongly agree,Very satisfied,I don’t know,This is the first time I've heard of them.,Extremely valuable,afrQfVdUcZAqnyVEdTJmBoZnnoMBouZtIASCaSZkCzEOuqiSXH,Adapted existing framework / standards,HhjfHrZfOMqDBbDPuAjQTSmvJlXabaySynWcjGOSrcMSObYYRV,Yes,toSlkeOYyaQYeCxAQfwFEZVjzPiTOYyGpcaeGJHuAoHvqyUmkw,cdeMbSBzJVuSYWZpnNhoBQynEosFsKXTboBXZUTtxUWajfRTzp,Value demonstration,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,tGIWgPkNqnmzfHsnndBlJAmzecnIhtkeHZqnscHjNawZBpESxw,"['Business case justification', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Awareness Programs for Assurance']",2023-06-11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not challenging at all,Very challenging,Slightly challenging,Slightly challenging,Not challenging at all,Very challenging,Moderately challenging,Not challenging at all,Very challenging,Very Relevant,Very Relevant,Extremely Relevant,Moderately Relevant,Very Relevant,Very Relevant,Not Relevant,Moderately Relevant,Extremely Relevant
8,mmmgyzmtcd@example.com,United Kingdom,Water,Project/Program Manager,Indirectly (We support clients or provide components for their digital twins),JenFaPUMae,BJlzPGiVJYimhDqMfwSoGdubAFhvAMCXlmjIQFWSTBeIURIQEE,"Conformity Assessments (e.g., alignment with standards and expectations)","Data Quality Checks (e.g., ensuring accuracy and reliability of data)",jpgmPgYCkH,None,Interoperability,ouaIpaxzpU,Yes,Very Easy,Unclear business case and issues around fairly distributed return on investment,Somewhat prepared,Agree,Interactive Platforms,Not Systematically,Agree,Strongly disagree,Very satisfied,Yes  / Something similar,I've seen them but don't use them in my work.,Very valuable,GOYaxSPVfvdgKqrQKDauhWIoPfUeRZNqrpgKvTWFSrldcIOYug,Developed by an external consultant,CMzmCwjygyWGGllBdQjEqadbPjflTZedrQQaWStmJaJmWQRRAJ,No,YyIntlgSZmTjgfFQPUZuWnzfyhcAqaHZWJwfbSmuokDOkccZkv,NFezqpweXFagEfETYMMHQGXGGcJzNithesPzFhYjkAfgoDUSJB,Value demonstration,Value demonstration,VMXSUhsmbcKeKdDszuDSDmmcxOGTUMTmpfOJdtCTBLDdmMajTN,"['Business case justification', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2022-01-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely challenging,Moderately challenging,Extremely challenging,Very challenging,Slightly challenging,Very challenging,Very challenging,Moderately challenging,Slightly challenging,Extremely Relevant,Extremely Relevant,Moderately Relevant,Very Relevant,Slightly Relevant,Extremely Relevant,Not Relevant,Extremely Relevant,Moderately Relevant
9,asdrlqozjc@example.com,Spain,Education,Data Scientist/Analyst,Yes,weFgEUSrqX,INqsoqaQPaZCKRFDnvvWLRLGLkWcppMvjoHJVoeUadJAkIEhjq,"Conformity Assessments (e.g., alignment with standards and expectations)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",hhuEDQIBcK,Value Creation,Openness,rayGAgDZOE,Yes,Neutral,Lack of trust in partner organisation,Somewhat prepared,Neutral,Interactive Platforms,Interactive Platforms,Neutral,Disagree,Very satisfied,Yes  / Something similar,I've heard of them but don't know much.,Moderately valuable,wTjKWKfEpqqnWobbZjtbxzDzPyIJrCXqdNuZUKxKolfsvGfWtr,Adapted existing framework / standards,MyZAnpHizPPtQvmTLyLDsxgLvodxzwhFIsTyxNPEHimHqJJgst,I need to know more about this tool to decide,qtSYeXTgegGyLJAUWbtvMqbaPRwgTNQDcSHxFBOTVYUXeHmslg,iDeeZSKwMtkyZgUJofacyzTrtNgyBoPLqffZEhvUlSQkCfUwAv,Other (Please specify),Step-by-Step Guidance / Skills Training,pXoHyzilUlmWthcnlMHwAEUseSaUpAwJHddRmoampsldeBtCgT,"['Tools to easily create Assurance Cases', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration']",2020-09-01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Moderately challenging,Extremely challenging,Not challenging at all,Extremely challenging,Very challenging,Slightly challenging,Not challenging at all,Not challenging at all,Not challenging at all,Extremely Relevant,Very Relevant,Extremely Relevant,Extremely Relevant,Very Relevant,Not Relevant,Slightly Relevant,Extremely Relevant,Not Relevant
10,gpgdutunud@example.com,United Kingdom,Education,Ontology Engineer/Framework Architect,No,fFcPFPLbUO,TRyLBradDOgNVchtKviNyisvOqMtnGACUXLkuLVRiitPcShJcT,"Impact Assessment (e.g., assessing effects on stakeholders and environments)","Conformity Assessments (e.g., alignment with standards and expectations)",LXUUNUQjRx,Sustainability,Data Stewardship,lKgGQwqosb,Yes,Very Easy,Intellectual Property Rights,Somewhat unprepared,Disagree,Non-standardized written Reports,Non-standardized written Reports,Disagree,Strongly disagree,Neutral,I don’t know,I've heard of them but don't know much.,Not valuable at all,NmwntDQsPGpROqJANoEpiUINyLsybdJKBbvYQeQCiGBHYSryia,Developed by an external consultant,PlhRmhZOGwWGllJOGNnqzGuvWezQBDGTjgZKySKQjblWbJmDKn,I need to know more about this tool to decide,vbGJLDzbUPZBFDPmkCGmnKxZIPVJssPECQkMMQMeQwPdOuPUQd,BObGYYvkWAqDVVlZWlxkyRecxTcvLQEChIvHvOnYzOTuFvnNSN,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Tools to easily create Assurance Cases,FwBLWqBWHpyCBQVkDymAWbBDasHnEDkhbAxMveLEnhembjUFJQ,"['Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2022-12-11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moderately challenging,Not challenging at all,Not challenging at all,Slightly challenging,Slightly challenging,Very challenging,Not challenging at all,Very challenging,Moderately challenging,Not Relevant,Slightly Relevant,Moderately Relevant,Slightly Relevant,Extremely Relevant,Extremely Relevant,Not Relevant,Slightly Relevant,Very Relevant
